epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2875.4,1.46874,1.22863,1.43762,0.83871,0.64608,0.74384,0.4208,1.6259,1.16161,1.43893,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,2964.26,1.45528,1.21827,1.42822,0.8409,0.64882,0.74825,0.42391,1.61894,1.15223,1.43704,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3053.08,1.45406,1.20554,1.41853,0.84364,0.65152,0.74729,0.4242,1.60811,1.15235,1.42563,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,3141.83,1.44235,1.19778,1.41615,0.83943,0.65522,0.75073,0.42895,1.59694,1.13638,1.42021,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,3230.67,1.43698,1.18427,1.41027,0.83844,0.66128,0.75223,0.42833,1.59732,1.12328,1.41889,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,3319.15,1.43202,1.17377,1.40787,0.83406,0.66847,0.75535,0.43311,1.59385,1.11409,1.41237,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,3407.31,1.4189,1.1526,1.4008,0.83576,0.66992,0.75598,0.43472,1.59144,1.10818,1.4147,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,3495.4,1.40714,1.14717,1.39273,0.83204,0.67424,0.76115,0.43725,1.58392,1.10099,1.41451,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,3585.83,1.40499,1.13634,1.38775,0.8402,0.67391,0.76515,0.43901,1.58037,1.09512,1.41055,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,3674.8,1.40675,0.98802,1.38616,0.83145,0.683,0.76643,0.44051,1.57465,1.08978,1.40394,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,3762.89,1.37838,0.95903,1.36938,0.83968,0.67983,0.7686,0.44349,1.57014,1.07994,1.39719,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,3850.76,1.37069,0.93601,1.35541,0.84818,0.68284,0.77088,0.44606,1.56472,1.06887,1.38844,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,3938.81,1.35507,0.92057,1.34568,0.85183,0.68621,0.77291,0.44875,1.56134,1.06056,1.38559,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,4026.73,1.3474,0.90997,1.34175,0.85509,0.68636,0.77546,0.45145,1.55568,1.05335,1.38054,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,4114.67,1.33211,0.88685,1.32671,0.85587,0.68687,0.77706,0.45332,1.55275,1.04977,1.37731,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,4202.56,1.31736,0.87602,1.32206,0.85376,0.68996,0.77795,0.45493,1.54922,1.04412,1.37479,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,4290.54,1.31042,0.86483,1.31626,0.85213,0.6936,0.7782,0.45611,1.54604,1.03989,1.37369,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,4378.38,1.296,0.84705,1.3036,0.85261,0.69562,0.77989,0.4565,1.54601,1.03715,1.37298,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,4466.33,1.28797,0.83917,1.29799,0.85274,0.69506,0.78049,0.45678,1.54664,1.035,1.37307,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
